Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
1096,2005.37,1457.81,1387.42,0.834874,0.265015,0.623081,23.9761,6.35403,3.95908,0.122819,-0.332913,0.934925,0.99236,0.0300607,-0.11966,0.0117317,0.942478,0.334061,-10.9465,-5.61736,-5.05668,10.3709,5.8276,5.17473,6.61953,6.17974,21.49,-0.747015,2.0141,-6.23889,832,0,2.07E+06,1889
2256,3044.29,1503.79,1385.89,0.890715,0.331464,0.329703,50.3549,16.6908,5.50302,0.975769,0.217809,-0.020845,0.0485958,-0.122841,0.991236,-0.213339,0.96823,0.13045,-11.3914,-9.49207,-6.09985,19.6726,9.15064,6.27003,48.234,7.79965,16.5151,9.46564,-0.373368,-1.56592,1544,0,4.26E+06,1890
424192,1696.37,1864.58,1416.97,0.537804,0.575124,0.803646,716.898,412.305,331.347,0.20561,0.974577,0.0890152,0.844707,-0.222666,0.486713,-0.49416,0.0248816,0.869015,-57.9477,-64.7355,-45.1534,66.1819,46.4528,50.2707,405.413,701.557,353.581,62.0306,40.3407,24.6735,51040,0,8.02E+08,1891
3.60E+06,766.444,2703.01,1473.97,0.490315,0.752886,0.676975,2577.71,1940.72,1313.82,0.936418,0.273718,-0.219545,0.211905,0.0575592,0.975594,-0.279675,0.960086,0.00410279,-131.685,-96.6576,-97.1749,135.49,119.129,84.8747,2450.24,1410.59,1971.41,331.599,-130.236,-40.7482,208408,0,6.80E+09,1892
216,894.074,2442.74,1382.81,0.754976,0.297594,0.823348,6.25665,1.86194,1.53303,-0.362558,0.69058,-0.62582,-0.419437,0.478747,0.771281,0.83224,0.542126,0.116081,-5.58429,-3.74836,-3.2223,5.76434,3.38693,3.42308,2.21181,3.86111,3.5787,-1.24873,0.965367,-1.92,256,0,408888,1893
1.37E+06,3094.68,2747.58,1445.72,0.529719,0.607456,0.77418,1472.3,894.361,692.396,0.830172,0.1764,0.528865,-0.553684,0.371786,0.745124,0.0651846,0.911405,-0.406316,-87.708,-71.1015,-56.9714,91.0598,66.865,62.8515,1291.81,744.581,1022.67,72.6368,259.094,128.708,94016,0,2.60E+09,1894
968224,1461.63,3041.05,1436.65,0.542993,0.718638,0.635935,1164.34,836.741,532.113,0.957308,0.0685285,0.28083,0.107779,0.816826,-0.566726,-0.268226,0.572799,0.774568,-97.5854,-86.7334,-55.5725,72.0421,60.8083,62.9835,1115.05,738.331,679.814,68.2946,151.362,-128.85,85464,0,1.83E+09,1895
589104,2581.8,3204.73,1431.77,0.465117,0.714621,0.748484,756.233,540.42,404.496,0.981065,0.0939163,0.169387,-0.158426,-0.113972,0.980771,-0.111416,0.989035,0.0969352,-60.531,-53.3672,-46.7746,63.4967,59.5162,46.6519,746.45,409.364,545.335,34.8626,37.3317,-9.59817,53888,0,1.12E+09,1896
3.67E+07,3141.55,1574.86,1590.5,0.470571,0.676314,0.782815,12123.1,8199.05,6418.34,0.975053,0.193255,0.109194,-0.12221,0.0567296,0.990882,-0.185298,0.979507,-0.0789321,-243.838,-207.383,-203.079,266.892,213.449,206.101,11868.6,6637.13,8234.74,1062.63,391.752,220.482,943104,0,6.95E+10,1897
3.05E+06,1004.78,1682.92,1475.56,0.504717,0.879668,0.563034,2416.57,2125.78,1196.88,0.948361,0.187236,0.256037,-0.296268,0.811206,0.504154,-0.113303,-0.553975,0.824787,-145.935,-94.7412,-81.3417,112.111,150.355,97.8827,2375.38,1850.9,1512.94,-6.66941,157.414,438.362,216176,0,5.78E+09,1898
2.07E+06,2372.87,1798.85,1464.16,0.510196,0.688194,0.711723,1986.82,1367.32,973.154,0.633096,0.740221,-0.226414,-0.413427,0.570628,0.70955,0.654421,-0.355608,0.66729,-117.586,-102.65,-107.231,103.793,97.2382,73.9309,1446.82,1656.92,1223.57,382.048,-260.929,-10.2932,164496,0,3.94E+09,1899
193880,2450.25,2472.37,1433.1,0.661346,0.411145,0.823686,565.62,232.552,191.55,-0.13378,0.575767,0.806595,0.986473,0.155172,0.0528485,-0.0947328,0.802754,-0.588737,-67.9868,-40.1692,-31.5574,42.8735,37.6125,35.3549,238.145,316.544,435.033,-22.5368,-38.227,174.058,29096,0,3.68E+08,1900
603328,947.635,1226.13,1441.03,0.50543,0.724888,0.68227,802.121,581.448,396.705,0.898133,0.371127,-0.235841,0.215824,0.0952399,0.971776,-0.383114,0.923685,-0.00543995,-68.6985,-59.1063,-49.1199,65.0316,55.2992,47.0466,732.337,454.221,593.717,138.931,-47.1273,-18.3866,57584,0,1.15E+09,1901
896,2748.18,1483.18,1390.05,0.898489,0.193049,0.525829,27.4156,5.29254,2.78297,0.944273,0.260282,0.2015,-0.209833,0.947632,-0.240756,-0.253612,0.185058,0.949439,-11.8524,-5.70229,-4.65137,9.91523,6.03894,4.29981,24.8571,6.70536,3.92857,5.55511,4.81364,0.719346,776,0,1.70E+06,1902
5.33E+06,1592.35,2378.05,1552.16,0.489158,0.773335,0.66057,3268.42,2527.58,1669.64,0.968623,0.199302,0.148484,-0.150893,-0.00313363,0.988545,-0.197484,0.979933,-0.0270379,-149.675,-165.236,-94.7397,120.199,117.212,100.315,3189.2,1733.16,2543.29,309.046,101.97,44.6549,253968,0,1.02E+10,1903
148496,2005.42,2554.53,1417.98,0.665567,0.377406,0.886136,491.646,185.55,164.423,0.719862,-0.53692,-0.439904,0.509588,0.839115,-0.190278,0.471294,-0.0871963,0.877655,-52.8457,-36.9996,-32.5439,64.2107,35.6157,30.3386,339.477,273.631,228.51,-117.44,-105.67,73.9145,26168,0,2.83E+08,1904
136808,1219.34,817.397,1431.85,0.900802,0.196643,0.504459,811.491,159.574,80.4984,0.818002,-0.0290316,0.574482,0.334424,0.836591,-0.433907,-0.46801,0.547058,0.694042,-59.5956,-31.5797,-21.7343,62.9348,28.0821,24.3033,578.469,136.458,336.636,4.76388,332.039,-40.8962,24960,0,2.61E+08,1905
832,1303.77,1566.37,1392.65,0.50649,0.719925,0.685502,9.75468,7.02264,4.81403,-0.156481,0.973323,-0.167798,-0.681752,0.0164855,0.731397,0.714652,0.228846,0.660986,-7.45754,-5.96357,-5.53147,7.20649,6.11038,5.28738,5.96154,9.49519,6.13462,-0.777314,-0.971555,-0.780283,664,0,1.59E+06,1906
237120,1338.29,3071.69,1431.93,0.662357,0.389326,0.867251,625.463,243.509,211.183,0.780913,0.406257,0.474479,-0.601442,0.283944,0.746755,-0.168649,0.868522,-0.466076,-67.6213,-40.4161,-38.6452,51.1452,38.308,34.307,475.515,282.164,322.476,125.91,138.983,86.711,34512,0,4.52E+08,1907
1.17E+06,2779.43,3130.56,1458.78,0.517983,0.744725,0.647241,1293.18,963.064,623.335,0.450192,0.569544,0.687711,-0.888138,0.365303,0.278861,-0.0923993,-0.736324,0.670291,-79.9512,-74.7251,-58.2145,108.9,67.8145,64.2333,1027.07,885.956,966.555,61.5294,123.245,296.974,99792,0,2.24E+09,1908
735088,2043.31,790.245,1477.41,0.464962,0.744455,0.718697,896.548,667.439,479.687,0.551455,-0.152328,0.820179,0.733983,0.555844,-0.390266,-0.396443,0.817211,0.418329,-90.4436,-63.2223,-49.439,68.4091,57.9218,51.2342,707.603,547.368,788.703,41.5822,134.761,-92.8095,65112,0,1.40E+09,1909
273552,2823.53,1873.34,1433.37,0.658846,0.488155,0.698863,629.072,307.085,214.61,0.790739,0.396308,0.466553,-0.521351,0.835419,0.173977,-0.320819,-0.380809,0.867214,-57.5784,-39.966,-34.946,54.9311,50.8355,38.7244,498.895,344.246,307.626,89.6055,144.516,90.0741,35952,0,5.22E+08,1910
