Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
1.72E+06,1558.19,2163.07,979.104,0.331627,0.962493,0.694419,1317.26,1267.86,880.423,-0.0131684,-0.724692,0.688947,0.477668,0.600746,0.641044,0.878442,-0.33753,-0.338251,-85.7916,-76.4181,-68.4073,83.5183,83.2313,70.2272,968.898,1249.66,1246.98,115.345,114.671,-68.9009,112328,0,3.66E+08,213
2.26E+07,2343.22,2125.92,1102.63,0.413306,0.905561,0.647878,7902.41,7156.12,4636.3,0.41304,-0.443348,0.795513,-0.857077,0.106113,0.504142,0.307924,0.890046,0.336154,-208.746,-210.997,-176.892,196.206,182.759,155.115,7044.52,5306.65,7343.66,-827.262,-15.6119,-1017.12,657808,0,4.83E+09,214
1216,1171,915,916,0.362059,0.795163,0.802277,11.0537,8.78947,7.05159,0.692924,-0.692924,0.19928,0.707107,0.707107,0,-0.140913,0.140913,0.979943,-8.3278,-6.65685,-5.76525,8.3278,6.65685,5.76525,9.84211,9.84211,7.21053,-1.05263,0.552632,-0.552632,752,0,261440,215
9.59E+06,1030.84,1170.01,1050.82,0.573088,0.756961,0.563981,5174.17,3916.64,2208.91,-0.0350568,-0.541007,0.840287,0.998933,0.00631305,0.0457402,-0.0300505,0.840994,0.540209,-159.048,-126.724,-107.245,151.041,137.083,100.511,3916.65,3076.88,4306.2,67.0085,-9.32138,-1347.52,346928,0,2.07E+09,216
3.87E+06,906.884,1397.43,1021.84,0.805216,0.36022,0.540737,4802.84,1730.08,935.518,0.842196,0.411203,-0.348739,0.255779,0.264685,0.929795,-0.47464,0.872269,-0.117739,-172.467,-96.4794,-77.9578,140.998,106.674,64.7339,3730.57,1645.1,2092.77,1393.1,-946.893,-359.04,209816,0,8.40E+08,217
9.15E+06,2749.6,1643.57,1060.17,0.626077,0.462521,0.808447,6215.26,2874.69,2324.03,-0.552179,0.736384,-0.390943,-0.331974,0.235938,0.913305,0.764782,0.634091,0.114181,-183.753,-131.701,-106.055,172.257,114.402,109.926,3571.16,4464.75,3378.07,-1625.37,673.047,-1001.57,344328,0,2.00E+09,218
523160,1044.56,1355.67,993.396,0.636745,0.644464,0.563655,837.258,539.582,304.138,0.592553,-0.174737,0.786351,0.382606,0.920098,-0.0838543,-0.708868,0.350551,0.612063,-65.8935,-52.8326,-42.8607,68.2998,57.4657,39.5795,525.793,519.739,635.447,27.6849,240.856,-91.4187,51448,0,1.15E+08,219
2.69E+06,1788.29,1701.77,1065.81,0.861521,0.329594,0.420149,4437.23,1462.49,614.462,-0.282274,-0.569551,0.771967,0.959236,-0.17908,0.218626,0.0137253,0.802211,0.596883,-145.274,-73.0125,-55.9709,135.516,89.0352,60.1757,1699.35,1881.72,2933.11,468.911,-655.163,-1713.98,167888,0,5.92E+08,220
1.47E+07,846.787,3164.52,1161.54,0.863708,0.321255,0.424248,13649.8,4385.07,1860.36,-0.258184,-0.575801,0.775754,0.951685,-0.28976,0.101663,0.166245,0.764521,0.622792,-241.407,-147.452,-96.2626,256.818,175.216,118.181,4932.87,5981.09,8981.3,1056.43,-2117.01,-5340.49,541992,0,3.25E+09,221
18832,1141.77,2988.73,961.793,0.839945,0.246491,0.649335,172.227,42.4523,27.5658,0.939759,-0.164328,-0.29975,-0.00481369,0.870427,-0.492274,0.341805,0.464062,0.8172,-24.0993,-17.0811,-11.9522,31.8464,17.4147,14.2559,155.323,42.7509,44.1711,-22.4022,-40.7147,0.74691,5624,0,4.18E+06,222
