,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
2815,1970000.0,1468.97,2484.6,2122.38,0.594038,0.549968,0.738155,136032.0,5550000000.0,155.53299485870036
2816,793800.0,2444.39,2875.87,2117.13,0.805284,0.465422,0.418365,111744.0,2240000000.0,114.87816525889625
2817,352160.0,3048.84,2870.87,2087.57,0.406504,0.872628,0.680125,37480.0,992000000.0,87.61540395449717
2819,10300000.0,935.611,1850.29,2190.67,0.467462,0.614886,0.866077,387144.0,29000000000.0,269.94763944025135
2820,1510000.0,3134.06,2067.17,2124.8,0.473959,0.586736,0.896554,106392.0,4270000000.0,142.33972037602
2821,8248.0,2589.76,2079.37,2060.03,0.694759,0.408348,0.747502,3216.0,23300000.0,25.067826295974925
2822,1216.0,2124.26,2290.82,2048.05,0.778863,0.258927,0.854053,888.0,3430000.0,13.242754181611415
2823,907080.0,736.29,2308.62,2107.8,0.534878,0.841395,0.552798,73304.0,2560000000.0,120.10165435666985
2824,490776.0,1673.65,2369.71,2095.03,0.68056,0.454519,0.702809,60136.0,1390000000.0,97.86518726103841
2825,141464.0,2504.24,2751.01,2073.75,0.721901,0.333373,0.834197,23376.0,400000000.0,64.6471083662799
2826,1000000.0,1109.89,1397.31,2139.98,0.448111,0.740307,0.745487,83912.0,2830000000.0,124.07009817988
2829,1990000.0,1597.71,2923.56,2130.54,0.533432,0.70268,0.663983,123400.0,5640000000.0,156.05756205042434
2831,320344.0,2387.15,1143.76,2089.05,0.601467,0.446034,0.893504,41072.0,907000000.0,84.89315169896867
2832,267384.0,1792.89,1866.07,2094.91,0.777054,0.443269,0.50296,41296.0,757000000.0,79.93045120271674
2833,2832.0,2188.84,3298.73,2059.75,0.714526,0.446029,0.640034,1544.0,8030000.0,17.553546560773313
2834,115592.0,2382.07,739.109,2088.28,0.369032,0.735625,0.857729,17696.0,328000000.0,60.43794910087654
