Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
7.79E+07,1084.72,958.005,432.882,0.518564,0.81935,0.587583,19583.1,16045.4,9428.01,0.950787,-0.0418853,0.307002,-0.0895137,0.911441,0.401576,-0.296634,-0.409294,0.862836,-317.285,-279.432,-215.706,297.861,303.03,236.733,18661.2,14943.1,11452.3,-944.307,2726.33,2291.47,1.40E+06,0,1.40E+09,18
344,1290.93,2749.67,205.163,0.427448,0.87237,0.656318,4.68073,4.08333,2.67996,-0.611723,0.699777,-0.368927,0.349195,0.657333,0.667814,0.709829,0.27969,-0.646465,-5.09629,-4.53764,-4.08951,5.02497,4.79697,4.02177,3.59978,4.26609,3.57815,-0.534343,0.778799,0.0995133,360,0,6536,19
9.97E+06,3188.4,2473.93,339.975,0.616087,0.607257,0.63221,6291.76,3820.71,2415.49,0.983041,-0.154858,0.0982282,0.0145491,0.599811,0.800009,0.182806,0.785013,-0.591892,-185.256,-159.87,-126.182,165.828,128.225,117.138,6161.7,3014.01,3352.25,-577.83,390.657,615.338,377288,0,1.99E+08,20
4.21E+07,2319.46,2603.93,489.515,0.575672,0.66492,0.638164,14724.6,9790.69,6248.07,-0.347294,-0.242665,0.905815,0.766757,0.482623,0.423271,-0.539881,0.841539,0.018453,-279.365,-226.206,-193.389,264.543,231.665,177.045,9353.21,7572.39,13837.8,2025.34,-1516.84,-1139.54,952272,0,8.84E+08,21
2184,1981.41,1776.15,234.11,0.79765,0.356365,0.567815,33.7432,12.0249,6.82792,0.270815,0.151718,0.9506,0.950186,-0.200406,-0.238712,0.15429,0.967894,-0.198433,-15.9645,-9.33771,-6.17892,11.6233,8.74351,6.77891,13.494,7.65619,31.4458,0.11625,5.75019,4.13042,1440,0,48048,22
6.61E+07,1560.07,2832.04,505.986,0.669755,0.399094,0.827485,25454.5,10158.7,8406.21,0.562663,0.376417,0.736016,-0.465294,0.880107,-0.0944051,0.683309,0.289346,-0.670349,-341.388,-234.42,-183.928,346.919,237.449,228.691,14182.9,12179.3,17657.2,2893.08,7137.17,4577.6,1.34E+06,0,1.52E+09,23
1.11E+08,2509.26,3006.96,589.443,0.352039,0.724107,0.894841,23580.9,17075.1,15279.5,0.0677268,0.328719,0.941996,0.877207,0.430186,-0.213186,-0.475312,0.840764,-0.259219,-374.605,-318.171,-273.342,344.796,322.694,303.094,16699.3,16508.8,22727.4,862.405,193.825,2405.87,1.80E+06,0,2.68E+09,24
208,1308.31,2733.77,239.615,0.732492,0.384447,0.695825,5.78121,2.22257,1.54652,0.217187,0.785472,0.579538,0.0877787,-0.60702,0.789824,0.972175,-0.120668,-0.200784,-4.96363,-4.02261,-3.34855,6.07267,3.93038,3.18305,1.75148,4.40828,3.39053,0.686391,0.579882,1.60355,272,0,5200,25
136,1923.41,1792.59,240.235,0.554718,0.623601,0.71405,3.05064,1.90238,1.3584,0.865244,0.450431,0.220145,-0.401087,0.358448,0.842997,-0.300801,0.817696,-0.490807,-4.26877,-3.33113,-3.17785,4.26385,3.55993,3.07455,2.7128,1.77163,1.82699,0.581315,0.138408,0.33218,200,0,3536,26
1224,2462.9,1077.87,261.412,0.882378,0.227996,0.515894,31.6883,7.2248,3.72723,0.64878,0.366621,0.666839,-0.313426,0.927253,-0.204857,-0.693433,-0.0760977,0.716491,-11.8389,-6.71588,-4.3081,10.7795,7.03801,5.11509,15.8401,10.4927,16.3076,5.63424,12.3214,6.17147,992,0,33048,27
40,1707.2,2077.2,255.6,0.735859,0.574609,0.459688,1.39225,0.8,0.36775,0.605913,0.605913,-0.515499,-0.707107,0.707107,-2.06E-10,0.364513,0.364513,0.85689,-2.66039,-2.41421,-1.7878,2.79426,2.41421,1.92598,0.96,0.96,0.64,0.16,-0.32,-0.32,80,0,1120,28
1.00E+08,1905.3,2191.98,560.145,0.64138,0.775256,0.462583,26378.5,20450.1,9459.86,0.755309,0.429265,0.495216,-0.48963,-0.132656,0.86178,-0.435626,0.893383,-0.109985,-358.447,-338.964,-210.942,367.755,314.975,251.222,21746.6,12770.8,21771,6199.34,1690.9,2340.14,1.70E+06,0,2.91E+09,29
1.48E+08,2020.59,1797.62,678.624,0.584805,0.544635,0.762335,36155.6,19691.6,15011.6,0.049805,0.0779244,0.995714,0.956972,0.281633,-0.0699077,-0.285874,0.956353,-0.0605447,-419.887,-324.62,-314.984,444.139,337.678,285.452,19350,15511.2,35997.7,1343.4,735.473,1548.43,2.21E+06,0,4.45E+09,30
256,2118.81,2071.94,274.563,0.883516,0.159388,0.73082,12.2618,1.95439,1.42831,0.413768,0.797556,-0.438977,0.905965,-0.313285,0.284746,-0.0895762,0.515517,0.852185,-8.40819,-3.72778,-3.25787,6.68383,3.70801,3.36105,3.71484,8.37109,3.55859,3.42578,-1.83203,-3.83984,336,0,7936,31
1.10E+08,2747.08,1863.45,623.25,0.469819,0.711411,0.745253,25128.2,17876.5,13322.5,0.0755263,0.0547769,0.995638,-0.329018,0.943938,-0.0269742,0.941299,0.325545,-0.0893147,-348.778,-307.747,-306.941,343.901,293.138,248.734,13882.8,17415.6,25028.7,-1365.5,928.168,527.905,1.78E+06,0,3.53E+09,32
5288,2083.77,2097.99,281.976,0.912805,0.295069,0.295507,86.575,25.5456,7.5489,0.436088,0.804342,-0.403561,0.863905,-0.499757,-0.0625365,0.251983,0.321367,0.912813,-23.0416,-10.5947,-7.43881,19.0039,13.9522,7.12942,36.009,63.1709,20.4896,19.9495,-14.8799,-25.0895,2800,0,174504,33
88,2146.36,2212,278,0.618034,0.502533,0.760081,2.6313,1.32231,1.00507,0,0.850651,0.525731,1,0,0,0,-0.525731,0.850651,-3.75276,-3.36364,-2.7013,3.75276,2.63636,2.7013,1.32231,2.18182,1.45455,0,0,0.727273,152,0,2992,34
12776,2178.71,2209.4,297.162,0.946567,0.423627,0.126131,183.873,77.8933,9.82477,-0.236967,0.881815,0.407737,0.903678,0.0459885,0.425737,-0.35667,-0.469349,0.807774,-35.5774,-20.0782,-9.14083,32.2252,24.0292,7.92357,75.1852,145.308,51.0977,-33.5404,9.37138,63.9113,6256,0,447160,35
2.11E+07,2825.79,1015.22,531.997,0.759974,0.346404,0.692909,14165.9,4907.12,3400.19,0.543236,0.381051,0.748127,0.740802,0.20179,-0.640697,-0.395103,0.902264,-0.172663,-251.207,-175.146,-123.695,254.591,132.635,123.354,7404.19,5024.72,10044.3,2453.77,3660.05,2874.2,629080,0,7.58E+08,36
312,2209.18,2176.77,296.205,0.787729,0.366132,0.579767,8.72393,3.19411,1.85184,0.754756,0.410938,0.511345,-0.495396,0.868016,0.033641,-0.430031,-0.278709,0.858717,-6.68799,-3.99538,-3.58945,6.06188,4.62732,3.56285,6.09599,4.02367,3.65023,1.55424,2.62985,1.48323,376,0,11544,37
384,2150.04,2251.71,296.375,0.561458,0.625526,0.701078,6.30918,3.94655,2.76684,0.353413,0.872186,0.338218,-0.417518,-0.176476,0.891367,0.837125,-0.456233,0.301784,-5.75917,-4.93381,-4.62962,5.98483,5.03217,4.21806,3.41493,5.49826,4.10938,1.17882,-0.015625,0.859375,416,0,14592,38
752,2110.83,1977,303.66,0.719454,0.345458,0.812097,14.4355,4.98686,4.04982,0.107985,0.838023,0.534842,0.632251,-0.473063,0.613572,0.767202,0.271898,-0.580924,-7.84338,-5.54497,-4.80253,9.31397,5.26018,5.28623,4.5455,11.5532,7.37347,0.659574,0.963332,4.38298,680,0,29328,39
632,2124.46,1996.71,309.165,0.716737,0.561981,0.504044,10.8988,6.1249,3.08722,0.946706,0.108501,-0.303273,-0.104409,0.99409,0.0297247,0.304706,0.00352392,0.95244,-9.72489,-6.08571,-4.16245,6.9591,6.12346,4.78511,10.1215,6.18106,3.80836,0.487101,-2.2522,-0.167281,584,0,25280,40
1.58E+08,1714.8,1053.35,652.651,0.317931,0.740617,0.920947,28907.6,21409.5,19717,0.55692,0.637263,0.532668,-0.727613,0.0650683,0.682895,-0.400524,0.767895,-0.499918,-410.646,-363.723,-328.223,377.138,325.18,307.663,23463.6,23456.5,23114,3181.67,1885.47,3194.97,2.18E+06,0,6.46E+09,41
104,2552,1694.77,320.923,0.705646,0.722007,0.407689,2.79371,2.01708,0.822341,-0.0968192,0.538733,0.836895,0.917315,0.374577,-0.135003,-0.386212,0.754625,-0.530454,-3.86072,-3.26815,-2.60008,4.23812,3.42027,2.41842,1.84615,1.56213,2.22485,0.307692,-0.307692,0.828402,176,0,4368,42
656,2116.39,2013.73,323.268,0.732953,0.351376,0.760005,12.8227,4.50558,3.42426,0.12735,0.937035,0.325187,0.986121,-0.0844056,-0.14297,0.10652,-0.338881,0.93478,-8.70701,-5.45657,-4.86538,7.96693,5.05596,4.77658,4.6282,11.6841,4.44021,1.03153,0.236764,2.87686,584,0,28208,43
6.49E+07,2674.37,2359.56,598.329,0.572671,0.678107,0.630179,19162.3,12994.1,8188.61,0.441864,-0.645253,-0.623222,0.802108,-0.0269266,0.596572,0.401721,0.763495,-0.505664,-283.971,-259.965,-230.774,324.857,250.373,207.803,13422.9,12761,14161.1,-3232.55,-722.432,4335.73,1.25E+06,0,2.86E+09,44
2.48E+07,1872.4,1425.33,552.512,0.815115,0.30347,0.609235,18754.2,5691.34,3467.36,0.805389,-0.290873,0.51647,-0.274225,0.589622,0.759702,0.525499,0.753485,-0.39511,-245.518,-189.963,-129.217,307.395,178.362,159.676,13550.4,5533.91,8828.56,-3940.78,5895.38,-1300.3,730480,0,1.11E+09,45
2496,2498.33,1702.37,365.968,0.961001,0.109471,0.356247,92.8936,10.1692,3.62274,-0.614169,0.0425048,0.788029,0.294348,0.93883,0.178768,0.732226,-0.341748,0.589112,-20.9343,-9.45759,-5.3163,19.6166,7.60009,4.89796,37.8632,9.55408,59.2682,-0.521368,-42.8611,4.08884,1872,0,114816,46
7.33E+07,1852.12,2567.15,666.761,0.622457,0.540481,0.698532,23481.8,12691.5,8865.39,0.60161,0.0414656,0.797713,0.798729,-0.043547,-0.600113,0.00985398,0.99819,-0.0593181,-371.777,-248.093,-206.112,327.362,280.475,245.712,16596.5,8897.77,19544.4,231.543,5180.65,583.463,1.41E+06,0,3.44E+09,47
8,2760,2128,354,-1,-1,-1,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,24,0,384,48
8920,2512.32,1689.88,402.319,0.983949,0.04502,0.356526,416.146,18.7349,6.67947,-0.668474,-0.174944,0.722867,0.73319,-0.318105,0.601034,0.124801,0.931774,0.340912,-41.5061,-12.8289,-7.14917,38.2932,11.3328,7.1849,196.134,20.4312,224.996,45.0736,-192.549,-54.0865,4904,0,437080,49
2.50E+07,1507.55,1714.83,564.177,0.698182,0.45594,0.661969,13618.6,6209.27,4110.34,0.889778,-0.27919,0.361038,0.326215,0.942293,-0.0752816,-0.319186,0.18476,0.929508,-268.092,-155.005,-144.17,263.724,195.342,168.723,11861.4,6715.16,5361.62,-1716.83,3002.92,-1107.31,668472,0,1.25E+09,50
272,957.529,2086.47,391.176,0.785294,0.253009,0.848609,8.37401,2.1187,1.79795,0.476992,0.736461,-0.479691,0.207535,0.43597,0.875705,0.854054,-0.517257,0.055113,-6.37635,-3.88915,-3.72551,6.30145,3.77262,3.39882,3.30796,5.42561,3.55709,2.3391,-1.44637,-2.20069,320,0,13872,51
64,2475,1699,396,0.854102,0.381966,0.381966,2.61803,1,0.381966,-0.525731,0,0.850651,0,1,0,0.850651,0,0.525731,-3.22703,-2,-1.85065,3.22703,2,1.85065,1,1,2,0,-1,0,112,0,3328,52
5.62E+07,3061.2,2460.17,663.884,0.521509,0.667242,0.717117,16813.2,11218.5,8044.96,0.125449,-0.0669525,0.989838,-0.583318,0.802066,0.12818,0.802498,0.59347,-0.0615639,-271.57,-240.529,-215.567,314.54,244.054,216.438,9262.77,10125.8,16688.1,-1558.4,851.509,-254.827,1.10E+06,0,2.98E+09,53
264,931.758,2091.45,400.788,0.705484,0.412694,0.713642,6.24371,2.57674,1.83887,0.334365,0.760183,0.557066,0.612221,-0.624585,0.48485,0.716509,0.17893,-0.674239,-5.76679,-4.04788,-3.42138,5.47416,3.89377,3.59339,2.6079,4.67218,3.37925,0.837466,1.03949,1.64187,304,0,14256,54
648,2410.72,1697.93,428.321,0.92047,0.112581,0.706429,29.7602,3.35043,2.36684,-0.573865,-0.00324196,0.818944,0.708893,0.498746,0.498722,-0.410062,0.866742,-0.283914,-9.70569,-4.62312,-4.01801,12.7804,4.62266,4.06581,11.8823,2.6118,20.9834,0.39872,-12.5261,0.171925,696,0,35640,55
1.10E+08,1072.11,1850.37,724.592,0.445768,0.881084,0.629035,22830.7,20115.8,12653.5,0.760476,-0.41707,0.497723,-0.422768,0.26379,0.866996,0.492892,0.869751,-0.0242822,-339.05,-317.856,-273.272,342.855,336.951,270.366,19873,14943.1,20784,-4060.13,1116.94,-405.985,1.79E+06,0,6.15E+09,56
1.08E+08,2358,2132.08,819.936,0.594746,0.528662,0.766566,29510,15600.8,11959,0.0169501,-0.212825,0.976943,-0.214294,0.953605,0.211459,0.976622,0.212937,0.0294435,-398.177,-293.59,-280.43,378.767,302.234,265.713,12131.3,16065.7,28872.8,-807.514,125.606,-2914.81,1.78E+06,0,6.13E+09,57
