,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
197,4530000,2013.77,1350.29,949.968,0.473593,0.692687,0.75995,219240,897000000,205.2894005
198,24700000,2418.87,2738.39,1092.04,0.781492,0.441205,0.495253,712464,4910000000,361.3261916
199,7870000,1396.38,2288.16,978.745,0.721829,0.564704,0.492596,328112,1570000000,246.7887567
200,79200000,1719.02,1205.15,1148.62,0.67698,0.53437,0.604488,1480000,15900000000,532.8138676
201,5050000,2543.3,2029.8,966.135,0.677726,0.682309,0.472329,242288,1020000000,212.8617289
202,22500000,1514.02,1519.34,1088.11,0.683815,0.860314,0.367523,659448,4570000000,350.2632975
203,1020000,1681.56,2215.32,933.163,0.794726,0.574437,0.357348,83928,209000000,124.8917784
204,92100000,1740.84,2420.24,1222.57,0.629529,0.778866,0.475655,1790000,18900000000,560.2996304
205,13352,2305.91,3062.49,899.27,0.731004,0.499694,0.538321,4144,2750000,29.43399649
206,8310000,1029.03,956.354,1015.32,0.581752,0.563869,0.741746,332832,1720000000,251.3048096
207,12200000,967.107,3049.44,1023.82,0.438765,0.906799,0.618919,410120,2540000000,285.6189837
208,9520000,1264.25,1038.09,1035.98,0.610807,0.679374,0.572869,348928,1990000000,262.9537944
209,2910000,1128.38,1667.32,986.326,0.615542,0.515023,0.746486,167520,610000000,177.132447
210,7720000,2287.76,2913.23,1097.18,0.80828,0.290921,0.659011,339952,1630000000,245.2107803
211,8080000,2468.67,2958.58,1058.62,0.753107,0.428698,0.575913,339496,1710000000,248.9645885
212,1720000,1558.19,2163.07,979.104,0.331627,0.962493,0.694419,112328,366000000,148.6540029
213,22600000,2343.22,2125.92,1102.63,0.413306,0.905561,0.647878,657808,4830000000,350.7814392
214,1216,1171,915,916,0.362059,0.795163,0.802277,752,261440,13.24275418
215,9590000,1030.84,1170.01,1050.82,0.573088,0.756961,0.563981,346928,2070000000,263.5967158
216,3870000,906.884,1397.43,1021.84,0.805216,0.36022,0.540737,209816,840000000,194.7918494
217,9150000,2749.6,1643.57,1060.17,0.626077,0.462521,0.808447,344328,2000000000,259.5020685
218,523160,1044.56,1355.67,993.396,0.636745,0.644464,0.563655,51448,115000000,99.97205887
219,2690000,1788.29,1701.77,1065.81,0.861521,0.329594,0.420149,167888,592000000,172.5511611
220,14700000,846.787,3164.52,1161.54,0.863708,0.321255,0.424248,541992,3250000000,303.929534
