Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
1.01E+06,2877.29,1561.62,1408.55,0.419889,0.675897,0.858284,1076.01,727.269,624.203,0.14106,0.876257,0.460734,-0.132491,-0.444492,0.885931,0.981095,-0.186012,0.0533965,-72.177,-64.2981,-59.6442,74.2431,59.6001,57.4997,635.002,991.473,801.004,61.9146,17.2654,141.816,77424,0,1.68E+09,1668
2.97E+06,2990.46,3147.04,1448.38,0.38388,0.842606,0.731207,2016.48,1699.1,1242.39,0.187629,0.0269436,0.98187,0.107937,0.993004,-0.0478752,0.976291,-0.114963,-0.183408,-107.75,-93.9036,-84.9353,104.883,103.715,87.1149,1274.97,1693.29,1989.72,52.8639,140.248,-1.23336,170912,0,4.95E+09,1669
646808,3069.06,1255.51,1406.84,0.485721,0.690014,0.745317,847.792,584.988,436.002,0.278603,-0.649023,0.707919,-0.608321,0.451137,0.653009,0.743186,0.612572,0.269126,-68.4898,-58.5904,-53.7377,70.4152,69.3116,52.2075,523.098,639.783,705.901,-115.347,22.0334,-145.309,63848,0,1.08E+09,1670
7.04E+06,1158.64,2639.58,1458.51,0.486502,0.620289,0.827836,4331.92,2687.04,2224.43,0.417338,0.906265,0.0671695,0.420374,-0.258056,0.869881,0.805677,-0.334798,-0.488667,-147.247,-117.98,-113.298,158.589,127.945,116.651,2673.24,3986.15,2583.99,746.908,228.243,24.4438,314672,0,1.18E+10,1671
2.75E+06,1559,1379.65,1431.68,0.631034,0.762594,0.483829,2498.5,1905.34,921.862,0.0436174,0.98416,-0.171832,0.638431,0.104837,0.762506,0.768443,-0.142961,-0.623745,-110.048,-108.752,-79.2805,155.495,125.733,73.8872,1325.72,2459.76,1540.23,133.505,466.95,-188.008,181544,0,4.60E+09,1672
7.04E+06,2542.8,2394.58,1466.14,0.61904,0.505426,0.753739,4995.94,2525.08,1903.25,-0.242495,0.96884,-0.0504598,0.442691,0.156785,0.882861,0.863262,0.191751,-0.466916,-145.149,-118.631,-100.303,172.197,117.851,132.949,2206.97,4821.49,2395.8,-683.431,280.875,-65.1208,300488,0,1.18E+10,1673
8.25E+06,2801.77,2543.16,1476.46,0.508155,0.681207,0.72202,4566.39,3110.66,2245.95,-0.27884,0.95586,-0.0926284,-0.00415728,0.0952516,0.995445,0.960329,0.277955,-0.0225862,-149.966,-120.71,-106.567,159.224,126.476,117.679,2426.39,4373.91,3122.7,-618.813,56.355,-123.462,323352,0,1.38E+10,1674
1.82E+06,1297.69,2786.36,1429.69,0.429217,0.70077,0.814509,1574.94,1103.67,898.95,-0.0331241,0.99399,0.10434,-0.496864,-0.10696,0.861212,0.867196,-0.0233158,0.497421,-93.2586,-84.0612,-71.0122,95.4282,76.4466,74.7009,950.232,1569.18,1058.15,-11.3772,-89.9376,51.251,120400,0,3.04E+09,1675
1.01E+06,2904.88,1017.82,1418.03,0.405097,0.81404,0.730803,995.036,809.999,591.95,0.0660763,0.940464,0.33341,0.0745253,-0.337859,0.938242,0.995028,-0.037148,-0.0924128,-73.6865,-68.6314,-58.4083,73.0636,65.6149,57.6051,594.921,973.358,828.706,19.5585,24.1268,57.2718,80792,0,1.68E+09,1676
3.16E+06,2909.23,2689.06,1444.4,0.585875,0.65592,0.631365,2602.61,1707.1,1077.8,-0.27468,0.961158,0.0269447,-0.00230364,-0.0286803,0.999586,0.961533,0.274505,0.0100921,-120.059,-91.1115,-80.4364,115.156,100.863,72.0232,1192.85,2486.97,1707.69,-402.523,-12.7344,21.4485,176160,0,5.31E+09,1677
